"name","type","classification","code","depot_name","district_name","region_name"
"LALAPANZI","SUBSTATION","PRIMARY","G6","GWERU ENVIRONS DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"GENERAL HOSPITAL","PRIMARY","SWITCHING STATION","20","MABELREIGN DEPOT","HR NORTH DISTRICT","HARARE REGION"
"SOMABHULA","SUBSTATION","PRIMARY","G28","GWERU ENVIRONS DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"NORTON_88KV_S.S","POWER","PRIMARY","B13",NULL,"KADOMA DISTRICT ","NORTHERN REGION"
"TURK","SUBSTATION","PRIMARY","Q19","TURK MINE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"MLONYENI","SUBSTATION","PRIMARY","Q7",NULL,"GWANDA DISTRICT","WESTERN REGION"
"SHANGANI","SUBSTATION","PRIMARY","G13","GWERU ENVIRONS DEPOT","GWERU DISTRICT ","SOUTHERN REGION"
"LAMBO","SUBSTATION","SWITCHING","W3SW","HWANGE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"AERODROME","SUBSTATION","PRIMARY","AER33","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"CEMENT SWITCHING ","SUBSTATION","SWITCHING","CEM88SW","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"TURF_33KV_S.S","DISTRIBUTION","PRIMARY","H71","KADOMA DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"MUTOKO_33KV_S.S","DISTRIBUTION","PRIMARY","M104","MUTOKO DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"BNR 33/11","SUBSTATION","PRIMARY","S39","MASVINGO  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"KAROI_NORTH_33KV_S.S","DISTRIBUTION","PRIMARY","K4","KAROI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"BRANDFORD","SUBSTATION","PRIMARY","H61","KWEKWE URBAN DEPOT","KWEKWE DISTRICT ","SOUTHERN REGION"
"CITY INTAKE","SUBSTATION","PRIMARY","240","WARREN PARK DEPOT","HR NORTH DISTRICT","HARARE REGION"
"MUREWA_33KV_S.S","DISTRIBUTION","PRIMARY","M101","MUTOKO DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"MARONDERA_TOWN_33KV_S.S","DISTRIBUTION","PRIMARY","M15","MARONDERA RURAL DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"HORSESHOE_33KV_S.S","DISTRIBUTION","PRIMARY","M61","MVURWI DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"ACTURUS","SUBSTATION","PRIMARY","29","MABVUKU DEPOT","HR EAST DISTRICT","HARARE REGION"
"CHINHOYI_NO.1_33KV_S.S","DISTRIBUTION","PRIMARY","M12","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"RANEEN 33/11","SUBSTATION","PRIMARY","U37","NYANGA  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"MARKET SQUARE","PRIMARY","SWITCHING STATION","41","CBD DEPOT","HR EAST DISTRICT","HARARE REGION"
"TORONTO  33/11","SUBSTATION","PRIMARY","U9","MUTARE ENVIRONS  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"HARARE_NORTH_33KV_S.S","DISTRIBUTION","PRIMARY","M3","CONCESSION DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"CENTENARY_NORTH_33KV_S.S","DISTRIBUTION","PRIMARY","M134","CENTENARY DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"BUDIRIRO","SUBSTATION","PRIMARY","1515","GLENVIEW DEPOT","HR SOUTH DISTRICT","HARARE REGION"
"BORROWDALE","SUBSTATION","PRIMARY","30","BORROWDALE DEPOT","HR EAST DISTRICT","HARARE REGION"
"BEATRICE","SUBSTATION","PRIMARY","1098","SOUTHERTON DEPOT","HR SOUTH DISTRICT","HARARE REGION"
"MUFAKOSE","SUBSTATION","PRIMARY","3822","KUWADZANA DEPOT","HR NORTH DISTRICT","HARARE REGION"
"GLEN NORAH","SUBSTATION","PRIMARY","3825","GLENVIEW DEPOT","HR SOUTH DISTRICT","HARARE REGION"
"HIPPO VALLEY 33/11","SUBSTATION","PRIMARY","L9","CHIREDZI  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"KUWADZANA","SUBSTATION","PRIMARY","1513","KUWADZANA DEPOT","HR NORTH DISTRICT","HARARE REGION"
"MT_DARWIN_33KV_S.S","DISTRIBUTION","PRIMARY","M60","MT DARWIN DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"BANKET_NORTH_33KV_S.S","DISTRIBUTION","PRIMARY","M71","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"NORTH AVE LOCAL","PRIMARY","SWITCHING STATION","25","MABELREIGN DEPOT","HR NORTH DISTRICT","HARARE REGION"
"WARWICK_33KV_S.S","DISTRIBUTION","PRIMARY","M97","MARONDERA DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"JUMBO_MINE_33KV_S.S","DISTRIBUTION","PRIMARY","M6","CONCESSION DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"OLD WEST MINE SHAFT 33/11","SUBSTATION","PRIMARY","U36","MUTARE ENVIRONS  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"BAMBOO CREEK 33/11","SUBSTATION","PRIMARY","U70","CHIPINGE  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"DOMA_33KV_S.S","DISTRIBUTION","PRIMARY","M87","MHANGURA DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"UMFURUDZI_NORTH_33KV_S.S","DISTRIBUTION","PRIMARY","M59","BINDURA DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"MSONEDI_33KV_S.S","DISTRIBUTION","PRIMARY","M137","CONCESSION DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"SHAMVA_SOUTH_33KV_S.S","DISTRIBUTION","PRIMARY","M2","BINDURA DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"VUMBA 33/11","SUBSTATION","PRIMARY","U24","MUTARE ENVIRONS  DEPOT","MUTARE DISTRICT ","EASTERN REGION"
"AIRPORT","SUBSTATION","PRIMARY","3765","CBD DEPOT","HR EAST DISTRICT","HARARE REGION"
"FOURTH STREET","PRIMARY","SWITCHING STATION","400","CBD DEPOT","HR EAST DISTRICT","HARARE REGION"
"CHEGUTU_INDUSTRIAL_33KV_S.S","DISTRIBUTION","PRIMARY","H63","KADOMA DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"THE_GROOVE_33KV_S.S","DISTRIBUTION","PRIMARY","M58","JURU DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"GLENESK_33KV_S.S","DISTRIBUTION","PRIMARY","M138","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"CHAKARI_33KV_S.S","DISTRIBUTION","PRIMARY","H12","KADOMA DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"PASI_DAM_33KV_S.S","DISTRIBUTION","PRIMARY","H14","KADOMA DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"USWESWE_33KV_S.S","DISTRIBUTION","PRIMARY","H7","KADOMA DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"CHINHOYI_NORTH_33KV_S.S","DISTRIBUTION","PRIMARY","M65","CHINHOYI DEPOT","CHINHOYI DISTRICT ","NORTHERN REGION"
"FIRLE","SUBSTATION","PRIMARY","1226","GLENVIEW DEPOT","HR SOUTH DISTRICT","HARARE REGION"
"LENNOX MINE 33/11","SUBSTATION","PRIMARY","S29","MASVINGO  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"KING MINE 33/11","SUBSTATION","PRIMARY","S23","MASVINGO  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
