"id","document_id","item_id","item","required_qty","unit_of_measurement","rfq_no"
"3081","TD23112975","Item231129243","Eye bolt M16 X300MM","34","each","10257516"
"3082","TD23112975","Item231129666","Bolts and nuts Galv M16 X 300","34","each","10257516"
"3083","TD23113049","Item23113050","A4 BRANDED NOTEBOOKS","100","each","10259128"
"3084","TD23113077","Item231130794","THERMAL TILL ROLLS 80*83MM","1000","each","10253234"
"3085","TD23120159","Item23120166","THERMAL TILL ROLLS 80*83MM","1000","each","10253234"
"3086","TD2312015","Item231201534","SUPPLY AND SERVICE OF SANITARY BINS","28","each","10255965"
"3087","TD23120197","Item23120144","M16 SQUARE WASHERS 30 X 30 X 17 X 3 MM","270","each","10257522"
"3088","TD23120263","Item231202304","J-KIT 50-95MM2 11KV XLPE","10","each","10258259"
"3089","TD23120263","Item231202759","J-KIT 50-95MM2 11KV PILC ","10","each","10258259"
"3090","TD23120219","Item231202415","J-KIT 120-185MM2 XLPE","10","each","10258258"
"3091","TD23120219","Item231202366","J-KIT 50-95MM2 11KV PILC ","10","each","10258258"
"3092","TD23120268","Item231202962","J-KIT 120-185MM2 XLPE","20","each","10258841"
"3093","TD23120270","Item231202745","J-KIT 120-185MM2 PILC","20","each","10258841"
"3094","TD23120261","Item231202419","FUSE LUCY POLE UNIT ","24","each","102593228"
"3095","TD23120260","Item231202856","CONDUCTOR 50MM2 SCA","3000","each","10259273"
"3096","TD23120248","Item231202566","CONDUCTOR 50MM2 HDA","3000","each","10259275"
"3097","TD23120224","Item231202602","CONDUCTOR 100MM2 SCA","1000","each","10259276"
"3098","TD23120293","Item231202314","CONDUCTOR 100MM2 HDA","1500","each","10259279"
"3099","TD23120294","Item231202995","CONDUCTOR 100MM2 SCA","18250","each","RE10216909"
"3100","TD23120247","Item231202695","CONDUCTOR 100MM2 HDA","4000","each","RE10255038"
"3101","TD23120249","Item231202687","CONDUCTOR 100MM2 SCA","1500","each","RE10257271"
"3102","TD23120492","Item231204746","GLOVES LEATHER INDUSTRIAL","450","each","10253235"
"3103","TD23120492","Item231204519","GLOVES LEATHER SHORT LENGTH","450","each","10253235"
"3104","TD23120475","Item231204675","GLOVES LEATHER IND LONG","450","each","10253235"
"3105","TD23120475","Item231204100","GLOVES LEATHER SHORT ","450","each","10253235"
"3106","TD23120444","Item231204994","GLOVES LEATHER SHORT LENGTH","450","each","10258363"
"3107","TD23120444","Item231204475","GLOVES LEATHER INDUSTRIAL LONG","450","each","10258363"
"3108","TD23120449","Item231204945","GLOVES LEATHER INDUSTRIAL LONG","450","each","10253235"
