"id","document_id","item_id","sup_id","unit_price","vat","quoted_qty","bid_no","quote_date","rfq_no","total","bid_document"
"246","TD2112137","Item211213922","SUP229","45000","excl","2","6","2021-12-06","10216732","899999","bids/Xerox Scan_09122021132901.PDF"
"247","TD2112137","Item211213669","SUP229","50625","excl","2","6","2021-12-06","10216732","899999","bids/Xerox Scan_09122021132901.PDF"
"248","TD2112137","Item211213429","SUP229","67500","excl","2","6","2021-12-06","10216732","899999","bids/Xerox Scan_09122021132901.PDF"
"249","TD2112137","Item211213385","SUP229","213750","excl","1","6","2021-12-06","10216732","899999","bids/Xerox Scan_09122021132901.PDF"
"250","TD2112137","Item21121311","SUP327","19500","excl","2","7","2021-12-06","10216732","975800","bids/Xerox Scan_09122021132921.PDF"
"251","TD2112137","Item211213112","SUP327","25100","excl","2","7","2021-12-06","10216732","975800","bids/Xerox Scan_09122021132921.PDF"
"252","TD2112137","Item211213356","SUP327","115100","excl","2","7","2021-12-06","10216732","975800","bids/Xerox Scan_09122021132921.PDF"
"253","TD2112137","Item211213296","SUP327","64350","excl","2","7","2021-12-06","10216732","975800","bids/Xerox Scan_09122021132921.PDF"
"254","TD2112137","Item211213922","SUP327","41500","excl","2","7","2021-12-06","10216732","975800","bids/Xerox Scan_09122021132921.PDF"
"255","TD2112137","Item211213669","SUP327","47150","excl","2","7","2021-12-06","10216732","975800","bids/Xerox Scan_09122021132921.PDF"
"256","TD2112137","Item211213429","SUP327","90150","excl","2","7","2021-12-06","10216732","975800","bids/Xerox Scan_09122021132921.PDF"
"257","TD2112137","Item211213385","SUP327","170100","excl","1","7","2021-12-06","10216732","975800","bids/Xerox Scan_09122021132921.PDF"
"258","TD2112137","Item21121311","SUP752","20000","excl","2","8","2021-12-06","10216732","990000","bids/Xerox Scan_09122021132940.PDF"
"259","TD2112137","Item211213112","SUP752","26000","excl","2","8","2021-12-06","10216732","990000","bids/Xerox Scan_09122021132940.PDF"
"260","TD2112137","Item211213356","SUP752","115000","excl","2","8","2021-12-06","10216732","990000","bids/Xerox Scan_09122021132940.PDF"
"261","TD2112137","Item211213296","SUP752","65000","excl","2","8","2021-12-06","10216732","990000","bids/Xerox Scan_09122021132940.PDF"
"262","TD2112137","Item211213922","SUP752","41000","excl","2","8","2021-12-06","10216732","990000","bids/Xerox Scan_09122021132940.PDF"
"263","TD2112137","Item211213669","SUP752","47000","excl","2","8","2021-12-06","10216732","990000","bids/Xerox Scan_09122021132940.PDF"
"264","TD2112137","Item211213429","SUP752","91000","excl","2","8","2021-12-06","10216732","990000","bids/Xerox Scan_09122021132940.PDF"
"265","TD2112137","Item211213385","SUP752","180000","excl","1","8","2021-12-06","10216732","990000","bids/Xerox Scan_09122021132940.PDF"
"266","TD2112137","Item21121311","SUP752","20000","excl","2","8","2021-12-06","10216732","990000","bids/1639388836Xerox Scan_09122021132940.PDF"
"267","TD2112137","Item211213112","SUP752","26000","excl","2","8","2021-12-06","10216732","990000","bids/1639388836Xerox Scan_09122021132940.PDF"
"268","TD2112137","Item211213356","SUP752","115000","excl","2","8","2021-12-06","10216732","990000","bids/1639388836Xerox Scan_09122021132940.PDF"
"269","TD2112137","Item211213296","SUP752","65000","excl","2","8","2021-12-06","10216732","990000","bids/1639388836Xerox Scan_09122021132940.PDF"
"270","TD2112137","Item211213922","SUP752","41000","excl","2","8","2021-12-06","10216732","990000","bids/1639388836Xerox Scan_09122021132940.PDF"
"271","TD2112137","Item211213669","SUP752","47000","excl","2","8","2021-12-06","10216732","990000","bids/1639388836Xerox Scan_09122021132940.PDF"
"272","TD2112137","Item211213429","SUP752","91000","excl","2","8","2021-12-06","10216732","990000","bids/1639388836Xerox Scan_09122021132940.PDF"
"273","TD2112137","Item211213385","SUP752","180000","excl","1","8","2021-12-06","10216732","990000","bids/1639388836Xerox Scan_09122021132940.PDF"
"274","TD21121368","Item211213668","SUP998","72160","excl","2","1","2021-12-08","10216732","722000","bids/1639395983Xerox Scan_09122021132547.PDF"
"275","TD21121368","Item211213427","SUP998","20495","excl.","2","1","2021-12-08","10216732","722000","bids/1639395983Xerox Scan_09122021132547.PDF"
"276","TD21121368","Item211213108","SUP998","36080","excl.","2","1","2021-12-08","10216732","722000","bids/1639395983Xerox Scan_09122021132547.PDF"
"277","TD21121368","Item211213555","SUP998","15785","excl.","2","1","2021-12-08","10216732","722000","bids/1639395983Xerox Scan_09122021132547.PDF"
"278","TD21121368","Item211213913","SUP998","36080","excl.","2","1","2021-12-08","10216732","722000","bids/1639395983Xerox Scan_09122021132547.PDF"
"279","TD21121368","Item211213799","SUP998","40590","excl.","2","1","2021-12-08","10216732","722000","bids/1639395983Xerox Scan_09122021132547.PDF"
"280","TD21121368","Item211213198","SUP998","54120","excl.","2","1","2021-12-08","10216732","722000","bids/1639395983Xerox Scan_09122021132547.PDF"
"281","TD21121368","Item21121378","SUP998","171380","excl.","1","1","2021-12-08","10216732","722000","bids/1639395983Xerox Scan_09122021132547.PDF"
"282","TD21121368","Item211213668","SUP174","16500","excl","2","2","2021-12-08","10216732","821000","bids/1639396062Xerox Scan_09122021132608.PDF"
"283","TD21121368","Item211213427","SUP174","19000","excl","2","2","2021-12-08","10216732","821000","bids/1639396062Xerox Scan_09122021132608.PDF"
