"supplier","id","sup_id"
"SQUARE DEAL","3380","SUP870"
"ORANGE CREATIVE","3382","SUP659"
"LIQUINIUM ","3383","SUP255"
"JEFF DANIELS","3405","SUP432"
"BROADQUIP INDUSTRIALS","3406","SUP972"
"SOHO CONNECT","3409","SUP108"
"NASHUA ","3410","SUP864"
"CYBERWEB TECHNOLOGIES","3411","SUP828"
"MULTI ELECTRONICS","3414","SUP469"
"TECHFINITE","3418","SUP468"
"AMACON CIVILS","3419","SUP36"
"IZIDIN CONSTRUCTION","3423","SUP460"
"HOFEL CONSTRUCTION","3424","SUP395"
"TENSION CORNER BUILDING CONSTRUCTION","3427","SUP382"
"ABETEON ELECTRICAL","3430","SUP82"
"ABETECH ELECTRICAL","3433","SUP231"
"TUNKETT INVESTMENTS","3438","SUP673"
"ABE-TECH ELECTRICAL","3440","SUP88"
"ELECTRICAL RISK CONSULTANCY","3449","SUP704"
"McPress Advertising","3458","SUP868"
"ABMATECH MARKETING","3459","SUP791"
"DRIVEMO INVESTMENTS","3478","SUP451"
"KUBOTA ENGINEERING","3483","SUP877"
"BEST PRACTICES P/L","3489","SUP484"
"3PHASE","3510","SUP545"
"CHIEDZA RETIREMENTBADVISORY SERVICES","3521","SUP665"
"MINERVA BENEFITS CONSULTING","3522","SUP207"
"CHIEDZA RETIREMENT ADVISORY SERVICES","3559","SUP375"
"INAD HOUSE ENTERPRISES","3571","SUP23"
"HOIST ENGINEERING","3580","SUP59"
"INDUSTRIAL TECHNICAL ENGINEERING SERVICES","3586","SUP313"
"SHREWD HORIZONS","3589","SUP797"
"GI GLO INV","3590","SUP610"
"NUTSCALE BOREHOLE","3591","SUP499"
"LEVICO TRADING ","3592","SUP675"
"MUFUDZA TOUCH  INVESTMENTS","3613","SUP818"
"HOUSE CLEAN INDUSTRIAL SUPPLIERS","3615","SUP18"
"RYGEL TECHNOLOGIES","3618","SUP498"
"VENETIAN BLINDS CHAMPIOS","3623","SUP988"
"VENETIAN BLINDS CHAMPIONS","3627","SUP630"
"METRO-SOL","3638","SUP851"
"RED CIRCLE HR SOLUTIONS","3642","SUP790"
"HUMAN CAPITAL EXPERTS","3648","SUP73"
