"document_id","item_required","qty","uom","id"
"RQ19111869","heater plugs","4","each","1821"
"RQ19111869","inline fuel filter","1","each","1822"
"RQ19111869","fuel filter z91B","1","each","1823"
"RQ19111869","front shock absorbers","2","each","1824"
"RQ19111869","rear shock absorbers","2","each","1825"
"RQ19111869","engine oil 5litres","1","each","1826"
"RQ19111917","New tyres 205/70R15 for er2095","5","each","1827"
"RQ19111961","upper control arms Mazda","2","each","1828"
"RQ19111961","front shocks","2","each","1829"
"RQ19111961","rear shocks","2","each","1830"
"RQ19111921","spark plugs BKR6EY","4","each","1831"
"RQ19111921","oil filter z91c","1","each","1832"
"RQ19111921","fuel filter E16","1","each","1833"
"RQ19111921","air filter","1","each","1834"
"RQ19111921","brake pads","1","each","1835"
"RQ19111921","engine oil 5litres","1","each","1836"
"RQ19111921","degreaser 1ltr","1","each","1837"
"RQ19111932","New tyres 205/70R15 for er2123","5","each","1838"
"RQ19111924","upper control arms ","2","each","1839"
"RQ19111924","front shocks","2","each","1840"
"RQ19111924","rear shocks","2","each","1841"
"RQ19111993","spark plugs BKR6EY","5","each","1842"
"RQ19111993","oil filter z91c","1","each","1843"
"RQ19111993","fuel filter E16","1","each","1844"
"RQ19111993","air filter inner ","1","each","1845"
"RQ19111993","brake pads","1","each","1846"
"RQ19111993","engine oil 5litres","1","each","1847"
"RQ19111993","degreaser 1ltr","0","each","1848"
"RQ19111959","195/70 R14 new tyres","5","each","1849"
"RQ19111951","new tyres 195/70R14 for L200 er2031","5","each","1850"
"RQ19111918","lower ball joints","2","each","1851"
"RQ19111918","front suspension  bushes kit","1","each","1852"
"RQ19111918","rear suspension shackle bushes","1","each","1853"
"RQ19111918","front shocks","2","each","1854"
"RQ19111918","rear shocks","2","each","1855"
"RQ19111918","front wheel bearing kits","2","each","1856"
"RQ19111972","oil filter z248","1","each","1857"
"RQ19111972","diesel filter z180","1","each","1858"
"RQ19111972","brake pads","1","each","1859"
"RQ19111972","engine oil 7ltrs","1","each","1860"
"RQ19111996","215R15C new tyres","5","each","1861"
"RQ19112098","new battery size 650","1","each","1862"
"RQ19112098","front brake pads","1","each","1863"
"RQ19112098","fan belts","2","each","1864"
"RQ19112098","radiator np300","1","each","1865"
"RQ19112099","air cleaner","1","each","1866"
"RQ19112099","oil filter","1","each","1867"
"RQ19112099","fuel filter z219","1","each","1868"
"RQ19112099","fuel filter z425","1","each","1869"
"RQ19112057","upper wishbones","2","each","1870"
"RQ19112057","lower ball joints","2","each","1871"
"RQ19112057","upper ball joints","2","each","1872"
"RQ19112067","battery size 650","1","each","1873"
"RQ19112067","front brake pads","1","each","1874"
"RQ19112078","Vehicle hire CMED","1","each","1875"
"RQ19112053","622 Battery","1","each","1876"
"RQ19112082","650 Battery","1","each","1877"
"RQ19112017","650 Battery","-1","each","1878"
"RQ19112172","T TONNE LORRY PREF WITH GANDRY","1","each","1879"
"RQ19112160","Asbestos Facia Boards for Exec Guest House Cottage ","33","each","1880"
"RQ19112121","H Poles","2","each","1881"
"RQ19112141","LT poles","8","each","1882"
"RQ19112175","Conductor","400","metres","1883"
"RQ19112124","11kV poles","2","each","1884"
"RQ19112198","LT poles","8","each","1885"
"RQ19112171","33kV poles","2","each","1886"
"RQ19112154","11kV poles","5","each","1887"
"RQ19112194","7TONNE TRUCK","1","each","1888"
"RQ19112147","new battery size 650","1","each","1889"
"RQ19112239","Crane hire","1","each","1890"
"RQ19112279","245/70R16","5","each","1891"
"RQ19112587","CLEANING SERVICES","1","each","1892"
"RQ19112555","Printing of 300 bks of form E60 inspection and overhaul of consumers substation in triplicate","300","each","1893"
"RQ19112682","131A CF210A","1","each","1894"
"RQ19112682","131A CF211A","1","each","1895"
"RQ19112682","131A CF212A","1","each","1896"
"RQ19112682","131A CF213A","1","each","1897"
"RQ19112699","Voltage suppression","1","each","1898"
"RQ19112697","B.O.Q FOR DEPOT 1.	 10 x 5L Gloss Ivory 2.	2 x 5L flush hurry. 3.	3 x 20L ceiling white 4.	6 x 5L gloss transformer grey 5.	10 000 bricks 6.	60 x 50kg bags cement 7.	10 rolls x 115 brickforce 8.	2 rolls 115 dpc 9.	5 x 12 ft asbestos sheets 10.	2 x vent pi","1","each","1899"
"RQ19112637","SUPPLY AND FIX OF CHIMANIMANI DEPOT DURAWALL ","1","each","1900"
"RQ19112649","Durawall","1","each","1901"
"RQ19112633","Durawall","1","each","1902"
"RQ19112647","7 tonne truck hire","1","each","1903"
"RQ19112727","Office Tiling ( Site visit Required)","1","each","1904"
"RQ19112727","Fascia boards (site Visit Required)","1","each","1905"
"RQ19112727","Roof repairs  (site visit required)","1","each","1906"
"RQ19112772","Fuel pump and injectors replacement","1","each","1907"
"RQ19112725","Fuel pump and injectors replacement","1","each","1908"
"RQ19112747","Fuel pump and injectors replacement","1","each","1909"
"RQ19112773","Fuel pump and injectors replacement","1","each","1910"
"RQ19112897","pole changing","50","each","1911"
"RQ19112868","pole changing","120","each","1912"
"RQ19112849","pole changing","120","each","1913"
"RQ19112883","pole changing","110","each","1914"
"RQ19112890","pole changing","90","each","1915"
"RQ19112811","pole changing","180","each","1916"
"RQ19112817","pole changing","150","each","1917"
"RQ19112838","Pole changing 33kv line","8","each","1918"
